"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school","height_clean","position","jersey","url","season","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean","previous_school_clean"
2,"Abilene Christian","10389","Payton Hull","Sophomore","Peaster","Texas","Peaster HS",,"5'10""","Guard","10","https://www.acusports.com/sports/womens-basketball/roster/payton-hull/10389","2024-25","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Sophomore",0,"Peaster HS","PEASTER, TEXAS","TX","USA",
2,"Abilene Christian","10400","Mia Rivers","Graduate Student","College Station","Texas","College Station HS","Texas A&M-Kingsville","5'6""","Guard","11","https://www.acusports.com/sports/womens-basketball/roster/mia-rivers/10400","2024-25","TX","WAC","I",5,6,66,"GUARD",,"GUARD","Graduate Student",0,"College Station HS","COLLEGE STATION, TEXAS","TX","USA","Texas A&M-Kingsville"
2,"Abilene Christian","10395","Carlota Gomez","Junior","Madrid","Spain","IES Ortega y Gasset","Monroe College","5'11""","Forward","12","https://www.acusports.com/sports/womens-basketball/roster/carlota-gomez/10395","2024-25","TX","WAC","I",5,11,71,"FORWARD",,"FORWARD","Junior",0,"IES Ortega y Gasset","MADRID, SPAIN",,"SPAIN","Monroe College"
2,"Abilene Christian","10375","Zoe Jackson","Senior","McKinney","Texas","Allen HS","Butler","5'7""","Guard","13","https://www.acusports.com/sports/womens-basketball/roster/zoe-jackson/10375","2024-25","TX","WAC","I",5,7,67,"GUARD",,"GUARD","Senior",0,"Allen HS","MCKINNEY, TEXAS","TX","USA","Butler"
2,"Abilene Christian","10391","Meredith Mayes","Sophomore","Bixby","Okla","Bixby HS",,"6'2""","Center","14","https://www.acusports.com/sports/womens-basketball/roster/meredith-mayes/10391","2024-25","TX","WAC","I",6,2,74,"CENTER",,"CENTER","Sophomore",0,"Bixby HS","BIXBY, OKLA","OK","USA",
2,"Abilene Christian","10399","Natalia Chavez","Junior","Cochiti","NM.","Volcano Vista HS","University of New Mexico","5'11""","Guard","2","https://www.acusports.com/sports/womens-basketball/roster/natalia-chavez/10399","2024-25","TX","WAC","I",5,11,71,"GUARD",,"GUARD","Junior",0,"Volcano Vista HS","COCHITI, NM","NM","USA","University of New Mexico"
2,"Abilene Christian","10398","Paula Pique","Freshman","Sant Andreu de Llavaneres","Spain","Institut Llavaneres",,"6'1""","Guard","22","https://www.acusports.com/sports/womens-basketball/roster/paula-pique/10398","2024-25","TX","WAC","I",6,1,73,"GUARD",,"GUARD","Freshman",0,"Institut Llavaneres","SANT ANDREU DE LLAVANERES, SPAIN",,"SPAIN",
2,"Abilene Christian","10377","Emma Troxell","Sophomore","Bushland","Texas","Bushland HS",,"5'11""","Forward","24","https://www.acusports.com/sports/womens-basketball/roster/emma-troxell/10377","2024-25","TX","WAC","I",5,11,71,"FORWARD",,"FORWARD","Sophomore",0,"Bushland HS","BUSHLAND, TEXAS","TX","USA",
2,"Abilene Christian","10378","Bella Earle","Senior","Corinth","Texas","Denton Guyer HS",,"5'10""","Guard","3","https://www.acusports.com/sports/womens-basketball/roster/bella-earle/10378","2024-25","TX","WAC","I",5,10,70,"GUARD",,"GUARD","Senior",0,"Denton Guyer HS","CORINTH, TEXAS","TX","USA",
2,"Abilene Christian","10394","Erin Woodson","Sophomore","Richmind","Virginia","Saint Gertrude","Purdue-Fort Wayne","6'0""","Guard","4","https://www.acusports.com/sports/womens-basketball/roster/erin-woodson/10394","2024-25","TX","WAC","I",6,0,72,"GUARD",,"GUARD","Sophomore",0,"Saint Gertrude","RICHMIND, VA","VA","USA","Purdue-Fort Wayne"
